718,138602.338,179299.819,56.224,719,138603.649,179299.233,56.164
721,138596.596,179287.936,56.375,720,138597.872,179287.281,56.319
726,138591.214,179276.562,56.525,727,138592.508,179275.941,56.468
729,138584.797,179262.682,56.703,728,138586.102,179262.079,56.65
734,138578.972,179249.737,56.879,735,138580.278,179249.146,56.822
737,138573.258,179236.723,57.065,736,138574.565,179236.131,57.008
742,138567.668,179223.643,57.256,743,138568.988,179223.083,57.199
745,138562.506,179211.242,57.45,744,138563.821,179210.673,57.394
750,138557.238,179198.26,57.66,751,138558.572,179197.729,57.606
753,138551.953,179184.827,57.88,752,138553.288,179184.306,57.821
758,138547.306,179172.695,58.073,759,138548.647,179172.181,58.016
761,138542.24,179159.064,58.302,760,138543.578,179158.544,58.244
766,138537.384,179145.567,58.542,767,138538.728,179145.064,58.486
769,138532.666,179132.031,58.785,768,138534.013,179131.532,58.728
774,138528.104,179118.499,59.018,775,138529.463,179118.04,58.96
777,138524.048,179106.092,59.23,776,138525.41,179105.637,59.171
782,138519.643,179092.201,59.468,783,138521.01,179091.766,59.414
785,138515.953,179080.18,59.669,784,138517.322,179079.754,59.615
790,138471.625,178889.286,62.791,791,138473.036,178889.034,62.726
793,138473.989,178903.331,62.561,792,138475.403,178903.08,62.498
798,138476.36,178916.632,62.341,799,138477.767,178916.356,62.29
801,138478.809,178929.633,62.124,800,138480.22,178929.37,62.072
806,138481.601,178943.659,61.88,807,138483.009,178943.374,61.825
809,138483.746,178953.98,61.717,808,138485.15,178953.691,61.656
814,138484.837,178959.184,61.644,815,138486.243,178958.887,61.574
817,138485.837,178963.854,61.566,816,138487.239,178963.54,61.491
822,138486.879,178968.617,61.491,823,138488.281,178968.313,61.424
825,138487.938,178973.381,61.396,824,138489.333,178973.065,61.326
830,138489.011,178978.167,61.33,831,138490.408,178977.849,61.262
833,138491.054,178987.119,61.191,832,138492.453,178986.796,61.135
838,138493.665,178998.162,61.02,839,138495.057,178997.813,60.969
841,138497.172,179012.396,60.798,840,138498.566,179012.047,60.745
846,138500.688,179026.093,60.584,847,138502.07,179025.714,60.53
849,138504.38,179039.897,60.352,848,138505.757,179039.504,60.296
854,138507.841,179052.376,60.142,855,138509.217,179051.973,60.083
857,138511.886,179066.464,59.905,856,138513.258,179066.045,59.846
862,138515.676,179079.22,59.687,863,138517.048,179078.799,59.631
