138538.594,178113.437,72.417
138533.579,178134.258,72.193
138528.504,178155.358,71.965
138523.202,178177.403,71.728
138518.598,178196.554,71.516
138513.769,178216.621,71.294
138509.606,178233.902,71.118
138505.915,178249.189,70.955
138502.701,178262.505,70.821
138499.008,178277.848,70.657
138495.142,178294.105,70.455
138491.993,178307.589,70.296
138489.415,178318.896,70.179
138486.455,178332.257,70.042
138483.264,178347.266,69.875
138480.259,178362.087,69.698
138477.996,178373.761,69.545
138475.528,178387.094,69.37
138475.364,178388.011,69.36
138472.887,178402.234,69.175
138470.650,178415.832,69.0
138468.717,178428.307,68.835
138466.654,178442.518,68.629
138464.780,178456.380,68.426
138463.064,178470.016,68.234
138461.522,178483.164,68.045
138459.918,178497.947,67.838
138458.538,178511.993,67.643
138457.325,178525.699,67.462
138456.248,178539.360,67.291
138455.251,178553.820,67.114
138454.424,178568.032,66.94
138453.741,178582.204,66.762
138453.225,178596.058,66.584
138452.848,178609.591,66.413
138452.582,178624.071,66.237
138452.456,178638.702,66.063
138452.458,178651.501,65.907
138452.586,178665.650,65.733
138452.597,178666.372,65.725
138452.872,178680.945,65.553
138453.277,178695.186,65.375
138453.738,178707.738,65.213
138454.360,178721.560,65.047
138455.315,178738.608,64.846
138456.533,178756.587,64.637
138458.133,178776.436,64.405
138459.477,178790.950,64.222
138461.058,178806.328,64.02
138462.615,178820.165,63.82
138464.176,178832.977,63.635
138466.018,178847.024,63.429
138468.139,178862.106,63.187
138470.174,178875.656,62.959
138472.196,178888.325,62.74
138864.891,179696.784,53.834
138851.971,179679.218,53.877
138839.508,179662.285,53.902
138827.394,179645.820,53.934
138814.847,179628.752,53.972
138802.383,179611.795,53.974
138790.138,179595.161,53.985
138777.631,179578.168,54.0
138768.294,179565.460,54.003
138767.567,179564.467,54.0
138757.077,179550.168,54.022
138748.461,179538.368,54.043
138740.162,179526.915,54.066
138732.727,179516.558,54.086
138724.261,179504.603,54.113
138716.085,179492.869,54.139
138708.884,179482.352,54.171
138702.649,179473.088,54.218
138693.058,179458.455,54.302
138685.711,179447.037,54.423
138678.622,179435.795,54.552
138671.758,179424.686,54.671
138663.384,179410.855,54.824
138656.872,179399.868,54.945
138650.283,179388.543,55.079
138643.602,179376.813,55.215
138635.566,179362.371,55.388
138629.076,179350.413,55.535
138622.507,179338.041,55.684
138616.342,179326.169,55.835
138609.562,179312.807,56.001
138603.391,179300.352,56.152
138602.993,179299.526,56.164
138597.234,179287.608,56.319
138591.861,179276.252,56.468
138585.448,179262.381,56.65
138579.626,179249.441,56.822
138573.912,179236.427,57.008
138568.329,179223.363,57.199
138563.164,179210.957,57.394
138557.905,179197.995,57.606
138552.621,179184.566,57.821
138547.976,179172.438,58.016
138542.909,179158.804,58.244
138538.056,179145.316,58.486
138533.339,179131.782,58.728
138528.784,179118.269,58.96
138524.729,179105.865,59.171
138520.327,179091.983,59.414
138516.638,179079.967,59.615
138472.331,178889.160,62.726
138474.695,178903.206,62.498
138477.064,178916.494,62.29
138479.514,178929.502,62.072
138482.304,178943.517,61.825
138484.449,178953.835,61.656
138485.539,178959.036,61.574
138486.537,178963.697,61.491
138487.580,178968.465,61.424
138488.638,178973.222,61.326
138489.711,178978.008,61.262
138491.753,178986.958,61.135
138494.361,178997.988,60.969
138497.868,179012.222,60.745
138501.380,179025.903,60.53
138505.070,179039.700,60.296
138508.530,179052.174,60.083
138512.572,179066.254,59.846
138516.362,179079.010,59.631
